home,away,week,home_pass,away_pass,home_rush,away_rush,home_points,away_points,home_turnover,away_turnover,home_win
KC,BAL,5,247.7,311.0,179.3,111.0,21.3,25.7,-3.3,0.7,0
JAX,CHI,5,114.3,170.7,106.3,96.7,13.0,22.3,0.0,1.0,0
MIN,TEN,5,176.7,239.7,122.7,85.0,21.3,22.7,0.3,-1.3,1
NYG,CLE,5,366.3,276.7,92.0,68.7,31.3,19.0,1.0,-0.7,1
NYJ,HOU,5,174.7,227.0,76.0,154.3,11.0,32.0,-1.7,1.0,0
IND,GB,5,266.7,239.3,90.3,97.3,20.3,21.0,-1.3,0.0,1
CLE,CIN,6,270.7,282.3,53.3,103.7,19.0,26.0,-1.0,-0.7,1
ATL,OAK,6,302.7,252.0,107.7,66.0,27.0,17.7,1.0,0.3,1
SF,NYG,6,211.7,282.7,215.0,141.7,30.7,31.3,1.3,1.7,0
SD,DEN,6,221.0,326.0,112.3,98.0,21.3,27.7,0.3,-0.7,0
PHI,DET,6,197.7,314.0,127.3,92.7,13.0,24.3,-1.3,0.0,0
ARI,BUF,6,233.0,220.3,57.3,108.3,18.0,18.3,1.7,-1.3,0
TB,KC,6,204.0,198.3,78.0,200.7,22.0,17.7,0.3,-3.0,1
TEN,PIT,6,253.3,288.0,89.7,81.0,21.7,24.7,-1.3,0.7,1
WAS,MIN,6,225.3,185.3,165.0,149.3,24.0,24.7,0.7,0.7,1
HOU,GB,6,231.7,236.7,138.7,111.7,30.7,22.3,1.0,-0.7,0
BAL,DAL,6,294.7,298.3,118.3,42.7,21.0,13.7,0.7,-2.3,1
MIA,STL,6,267.0,147.7,113.0,81.7,19.3,14.0,-0.3,0.3,1
NYJ,IND,6,204.0,284.0,69.0,109.0,13.3,23.3,-1.7,0.0,1
SEA,NE,6,154.3,281.7,134.7,191.7,14.3,37.7,-1.3,2.3,1
BUF,TEN,7,198.7,215.7,117.3,101.3,16.7,15.7,-1.7,-1.0,0
NYG,WAS,7,253.7,228.7,149.7,155.0,28.0,26.3,1.0,1.0,1
